cellname,eutracelid,lcrid,pmax,phycellid,cellid,sitename,band
ESCRHLTE06_1,52481,1,430,9,0000cd01,ESCRHLTE06,B28
ESCRHLTE06_2,52482,2,430,10,0000cd02,ESCRHLTE06,B28
ESCRHLTE06_3,52483,3,430,11,0000cd03,ESCRHLTE06,B28
ESCRHLTE14_1,53505,1,460,23,0000d101,ESCRHLTE14,B28
ESCRHLTE14_2,53506,2,430,21,0000d102,ESCRHLTE14,B28
ESCRHLTE14_3,53507,3,460,22,0000d103,ESCRHLTE14,B28
ESCRBLTE04_1,51201,1,430,0,0000c801,ESCRBLTE04,B7
ESCRHLTE15_1,53761,1,430,27,0000d201,ESCRHLTE15,B28
ESCRHLTE11_1,53249,1,430,18,0000d001,ESCRHLTE11,B28
ESCRHLTE11_2,53250,2,430,19,0000d002,ESCRHLTE11,B28
ESCRHLTE11_3,53251,3,430,20,0000d003,ESCRHLTE11,B28
ESCRLLTE09_1,54785,1,430,4,0000d601,ESCRLLTE09,B7
ESCRHLTE07_1,52737,1,430,12,0000ce01,ESCRHLTE07,B28
ESCRHLTE07_2,52738,2,430,13,0000ce02,ESCRHLTE07,B28
ESCRHLTE07_3,52739,3,430,16,0000ce03,ESCRHLTE07,B28
ESCRFLTE13_1,52225,1,430,8,0000cc01,ESCRFLTE13,B28
ESCRFLTE13_2,52226,2,430,7,0000cc02,ESCRFLTE13,B28
ESCRFLTE13_3,52227,3,430,6,0000cc03,ESCRFLTE13,B28
ESCRFLTE12_1,51969,1,430,4,0000cb01,ESCRFLTE12,B28
ESCRFLTE12_2,51970,2,430,3,0000cb02,ESCRFLTE12,B28
ESCRFLTE12_3,51971,3,430,5,0000cb03,ESCRFLTE12,B28
ESCRLLTE01_1,54017,1,430,1,0000d301,ESCRLLTE01,B7
ESCRLLTE10_1,55041,1,430,5,0000d701,ESCRLLTE10,B7
ESCRHLTE08_1,52993,1,430,28,0000cf01,ESCRHLTE08,B28
ESCRHLTE08_2,52994,2,430,14,0000cf02,ESCRHLTE08,B28
ESCRHLTE08_3,52995,3,430,17,0000cf03,ESCRHLTE08,B28
ESCRLLTE03_1,54529,1,430,3,0000d501,ESCRLLTE03,B7
ESCRBLTE05_1,51713,1,430,0,0000ca01,ESCRBLTE05,B28
ESCRBLTE05_2,51714,2,430,1,0000ca02,ESCRBLTE05,B28
ESCRBLTE05_3,51715,3,430,2,0000ca03,ESCRBLTE05,B28
ESCRLLTE02_1,54273,1,430,2,0000d401,ESCRLLTE02,B7
ESCRHLTE25_1,55553,1,430,22,0000d901,ESCRHLTE25,B7
ESCRHLTE25_2,55554,1,430,21,0000d902,ESCRHLTE25,B7
ESCRHLTE25_3,55555,1,430,23,0000d903,ESCRHLTE25,B7
ESCRHLTE26_1,55809,1,430,24,0000da01,ESCRHLTE26,B7
ESCRHLTE26_2,55810,2,430,26,0000da02,ESCRHLTE26,B7